frame_num,id_class,id,box_X,box_Y,box_W,box_H,gender
117,0,4,1664,237,101,154,0.0
117,0,15,1695,361,137,203,
117,0,25,1562,225,94,153,
121,0,1,871,6,113,154,0.0
121,0,3,1531,217,87,146,1.0
121,0,4,1660,236,107,149,0.0
121,0,15,1691,365,139,207,
121,0,25,1567,251,105,126,
127,0,1,872,6,112,153,0.0
127,0,2,1670,276,247,295,1.0
127,0,3,1533,216,81,142,1.0
127,0,4,1620,234,134,160,0.0
127,0,15,1668,356,159,218,
138,0,1,872,6,112,153,0.0
138,0,3,1538,218,77,142,1.0
138,0,4,1629,215,107,194,0.0
138,0,15,1645,371,159,213,
138,0,24,1672,265,117,162,0.0
145,0,1,872,6,112,153,0.0
145,0,3,1536,218,77,141,1.0
145,0,4,1614,227,113,185,0.0
145,0,15,1620,354,174,260,
145,0,24,1672,248,84,174,0.0
147,0,1,872,6,112,153,0.0
147,0,3,1535,218,79,141,1.0
147,0,4,1607,230,124,179,0.0
147,0,15,1605,344,188,282,
147,0,24,1663,279,105,156,0.0
153,0,1,867,7,115,152,0.0
153,0,3,1533,215,78,144,1.0
153,0,4,1604,226,121,181,0.0
153,0,15,1616,324,197,278,
153,0,24,1647,285,134,166,0.0
167,0,1,868,7,112,154,0.0
167,0,3,1531,213,76,139,1.0
167,0,4,1574,209,133,204,0.0
167,0,15,1509,301,259,303,
167,0,32,1650,324,143,201,0.0
168,0,1,870,7,110,153,0.0
168,0,3,1530,214,75,131,1.0
168,0,4,1568,209,137,207,0.0
168,0,15,1507,310,247,296,
168,0,32,1652,326,147,203,0.0
179,0,1,872,6,108,153,0.0
179,0,15,1425,305,291,300,
179,0,32,1621,333,151,207,0.0
184,0,1,869,7,112,153,0.0
184,0,15,1402,266,250,332,
184,0,24,1583,269,145,226,0.0
190,0,1,870,7,112,154,0.0
190,0,15,1306,283,269,311,
190,0,32,1577,318,163,238,0.0
190,0,41,1835,112,84,247,
190,0,43,1791,234,72,123,
197,0,1,871,7,108,153,0.0
197,0,15,1310,263,206,297,
197,0,24,1518,276,177,207,0.0
197,0,32,1571,330,160,230,0.0
197,0,41,1810,119,108,254,
197,0,45,1496,202,139,250,0.0
200,0,1,871,6,110,153,0.0
200,0,15,1256,250,242,311,
200,0,32,1558,332,161,239,0.0
200,0,41,1800,112,119,261,
200,0,45,1486,204,135,271,0.0
204,0,1,877,7,102,151,0.0
204,0,15,1167,237,281,317,
204,0,24,1555,256,124,213,0.0
204,0,32,1520,336,181,237,0.0
204,0,41,1835,115,84,244,
204,0,43,1785,258,78,105,
204,0,45,1454,207,150,258,0.0
204,0,50,1607,259,67,111,0.0
204,0,51,1737,244,41,75,1.0
204,0,53,865,21,57,139,0.0
205,0,1,880,8,97,150,0.0
205,0,15,1166,233,282,318,
205,0,24,1518,256,154,236,0.0
205,0,32,1563,339,131,238,0.0
205,0,41,1836,114,83,244,
205,0,45,1444,206,162,252,0.0
205,0,50,1608,260,65,111,0.0
205,0,51,1737,247,38,71,1.0
206,0,1,878,7,99,151,0.0
206,0,15,1157,229,321,319,
206,0,24,1515,255,156,238,0.0
206,0,32,1499,322,194,244,0.0
206,0,45,1447,205,157,243,0.0
206,0,50,1608,257,59,113,0.0
206,0,51,1736,250,40,67,1.0
207,0,1,876,7,103,152,0.0
207,0,15,1160,222,316,318,
207,0,32,1490,315,197,253,0.0
207,0,41,1838,113,81,247,
207,0,45,1443,204,156,238,0.0
207,0,50,1607,254,55,113,0.0
207,0,51,1741,238,45,78,1.0
207,0,53,865,20,59,140,0.0
208,0,1,872,6,108,153,0.0
208,0,15,1157,217,297,319,
208,0,32,1484,303,199,260,0.0
208,0,41,1838,115,81,245,
208,0,45,1444,202,153,240,0.0
208,0,50,1604,257,64,106,0.0
208,0,51,1736,238,55,80,1.0
208,0,53,865,19,60,141,0.0
209,0,1,871,6,107,153,0.0
209,0,15,1156,213,232,322,
209,0,32,1478,298,203,264,0.0
209,0,41,1839,115,80,244,
209,0,45,1439,200,158,251,0.0
209,0,50,1593,264,77,104,0.0
209,0,51,1734,235,59,86,1.0
210,0,1,871,7,107,152,0.0
210,0,15,1154,202,221,334,
210,0,32,1478,296,199,276,0.0
210,0,45,1434,199,159,250,0.0
210,0,50,1590,254,71,109,0.0
210,0,51,1731,233,62,92,1.0
210,0,53,864,18,61,142,0.0
213,0,1,871,7,104,154,0.0
213,0,15,1135,187,212,341,
213,0,32,1466,299,198,272,0.0
213,0,41,1838,118,81,240,
213,0,45,1419,187,173,266,0.0
213,0,50,1569,253,91,109,0.0
213,0,51,1727,227,79,101,1.0
214,0,1,876,7,97,153,0.0
214,0,15,1096,180,238,346,
214,0,32,1467,289,194,294,0.0
214,0,41,1843,132,76,226,
214,0,45,1419,182,150,272,0.0
214,0,50,1571,241,85,107,0.0
214,0,51,1727,226,81,102,1.0
219,0,1,872,7,100,154,0.0
219,0,15,1017,154,254,372,
219,0,32,1455,292,176,270,0.0
219,0,41,1841,116,78,242,
219,0,43,1785,260,72,118,
219,0,45,1329,180,203,267,0.0
219,0,51,1732,229,77,122,1.0
220,0,1,883,6,90,155,0.0
220,0,15,1014,148,256,376,
220,0,32,1453,291,171,270,0.0
220,0,41,1841,117,78,241,
220,0,43,1785,262,68,117,
220,0,45,1324,176,207,269,0.0
220,0,51,1733,228,77,126,1.0
220,0,53,865,18,58,143,0.0
223,0,1,864,6,114,157,0.0
223,0,15,1017,131,212,342,
223,0,32,1392,287,220,258,0.0
223,0,41,1844,141,75,215,
223,0,43,1785,257,68,134,
223,0,45,1312,166,197,301,0.0
223,0,50,1547,236,61,100,0.0
223,0,56,1553,233,49,78,1.0
224,0,1,863,7,117,156,0.0
224,0,15,1006,120,225,347,
224,0,32,1368,281,235,290,0.0
224,0,41,1844,123,75,235,
224,0,43,1781,256,79,134,
224,0,45,1317,164,188,297,0.0
235,0,1,866,8,115,159,0.0
235,0,15,874,98,226,337,
235,0,32,1329,205,184,316,0.0
235,0,43,1773,267,89,112,
235,0,45,1239,149,193,286,0.0
235,0,51,1724,230,66,110,1.0
236,0,1,865,8,107,160,0.0
236,0,15,874,120,204,296,
236,0,32,1282,202,231,352,0.0
236,0,43,1774,268,87,111,
236,0,45,1237,144,185,291,0.0
236,0,51,1719,228,79,108,1.0
236,0,58,1558,225,64,138,1.0
239,0,1,867,6,90,154,0.0
239,0,15,878,61,173,352,
239,0,32,1256,263,212,311,0.0
239,0,43,1777,267,81,123,
239,0,45,1237,133,164,299,0.0
239,0,58,1549,226,73,137,1.0
239,0,63,1420,198,82,192,0.0
242,0,1,864,9,83,140,0.0
242,0,15,858,16,169,387,
242,0,32,1250,208,215,315,0.0
242,0,41,1836,114,83,241,
242,0,43,1777,269,79,125,
242,0,45,1235,112,148,260,0.0
242,0,51,1713,224,83,119,1.0
242,0,58,1530,228,80,133,1.0
245,0,15,789,21,221,375,
245,0,43,1779,268,77,130,
245,0,45,1201,99,153,306,0.0
245,0,51,1713,226,83,116,1.0
245,0,58,1539,226,77,137,1.0
245,0,63,1359,185,95,219,0.0
246,0,15,783,39,207,357,
246,0,43,1779,271,89,127,
246,0,45,1180,100,163,304,0.0
246,0,51,1712,226,88,116,1.0
246,0,58,1539,226,79,138,1.0
246,0,63,1350,182,93,223,0.0
252,0,1,896,7,77,114,0.0
252,0,15,788,13,133,197,
252,0,32,1098,311,225,232,0.0
252,0,43,1778,276,71,139,
252,0,45,1088,76,205,301,0.0
252,0,51,1712,227,83,127,1.0
252,0,58,1556,229,65,135,1.0
252,0,63,1247,152,187,258,0.0
255,0,1,895,8,75,123,0.0
255,0,15,755,2,149,247,
255,0,43,1775,277,70,135,
255,0,45,1090,64,172,295,0.0
255,0,51,1711,229,79,122,1.0
255,0,58,1560,229,62,136,1.0
255,0,63,1133,151,235,346,0.0
255,0,70,1529,233,70,125,1.0
257,0,1,896,6,79,137,0.0
257,0,15,733,0,146,275,
257,0,43,1769,272,73,97,
257,0,45,1119,46,127,255,0.0
257,0,51,1712,232,77,123,1.0
257,0,58,1559,229,64,137,1.0
257,0,63,1197,137,152,347,0.0
257,0,70,1529,232,74,129,1.0
257,0,71,1840,298,29,65,0.0
260,0,1,867,7,100,154,0.0
260,0,15,685,3,177,280,
260,0,43,1766,274,73,89,
260,0,45,1058,31,164,313,0.0
260,0,51,1705,231,81,128,1.0
260,0,58,1563,229,65,140,1.0
260,0,63,1132,131,185,345,0.0
260,0,70,1528,233,69,126,1.0
263,0,1,865,7,98,159,0.0
263,0,15,683,4,155,274,
263,0,43,1764,274,71,94,
263,0,45,1074,22,121,239,0.0
263,0,51,1699,242,81,115,1.0
263,0,58,1563,229,65,139,1.0
263,0,63,1096,147,136,257,0.0
263,0,70,1527,230,73,121,1.0
263,0,74,1775,300,85,122,1.0
263,0,75,973,193,175,286,0.0
264,0,1,864,7,101,158,0.0
264,0,15,683,5,147,270,
264,0,43,1764,274,68,97,
264,0,45,1065,22,116,210,0.0
264,0,51,1698,237,83,120,1.0
264,0,58,1562,229,65,139,1.0
264,0,63,1097,142,118,276,0.0
264,0,70,1527,230,74,121,1.0
264,0,74,1776,301,98,119,1.0
264,0,75,966,221,202,274,0.0
264,0,77,1137,100,145,318,0.0
265,0,1,862,7,108,158,0.0
265,0,15,685,3,143,275,
265,0,43,1762,276,71,99,
265,0,45,1057,20,114,204,0.0
265,0,51,1698,234,86,127,1.0
265,0,58,1563,228,65,141,1.0
265,0,63,1083,141,118,274,0.0
265,0,70,1529,232,70,126,1.0
265,0,74,1772,297,97,121,1.0
265,0,75,973,207,197,318,0.0
266,0,1,862,7,112,158,0.0
266,0,15,681,0,137,276,
266,0,43,1766,277,73,100,
266,0,45,1045,17,114,198,0.0
266,0,51,1695,232,92,131,1.0
266,0,58,1562,229,65,140,1.0
266,0,70,1526,230,76,122,1.0
266,0,74,1776,302,89,121,1.0
266,0,75,975,143,200,381,0.0
266,0,77,1127,89,135,334,0.0
267,0,1,864,7,104,159,0.0
267,0,15,678,0,140,269,
267,0,43,1755,271,77,97,
267,0,45,1042,16,110,197,0.0
267,0,51,1699,235,87,126,1.0
267,0,58,1561,229,67,140,1.0
267,0,70,1527,229,75,121,1.0
267,0,74,1775,308,97,117,1.0
267,0,75,974,161,191,355,0.0
267,0,77,1120,90,132,339,0.0
268,0,1,865,8,103,160,0.0
268,0,15,675,0,132,268,
268,0,43,1755,272,74,96,
268,0,45,998,12,143,213,0.0
268,0,51,1695,232,95,128,1.0
268,0,58,1562,229,65,139,1.0
268,0,63,976,113,180,304,0.0
268,0,70,1527,230,77,120,1.0
268,0,74,1776,305,104,123,1.0
268,0,75,971,155,200,374,0.0
269,0,1,860,8,112,159,0.0
269,0,15,666,2,136,265,
269,0,43,1754,271,73,96,
269,0,45,1020,10,109,192,0.0
269,0,51,1694,232,97,127,1.0
269,0,58,1561,228,67,141,1.0
269,0,63,985,105,167,337,0.0
269,0,70,1529,231,75,129,1.0
269,0,74,1774,304,101,124,1.0
269,0,77,1086,84,148,356,0.0
274,0,1,861,7,107,161,0.0
274,0,15,641,0,125,267,
274,0,43,1756,275,71,97,
274,0,45,960,0,138,188,0.0
274,0,51,1700,243,73,118,1.0
274,0,58,1564,228,59,140,1.0
274,0,63,970,81,136,357,0.0
274,0,70,1530,231,71,128,1.0
274,0,74,1772,310,91,118,1.0
274,0,77,1011,71,168,359,0.0
276,0,1,861,7,101,161,0.0
276,0,15,629,0,129,248,
276,0,43,1754,276,73,101,
276,0,45,954,0,130,167,0.0
276,0,51,1695,235,86,128,1.0
276,0,58,1555,228,67,138,1.0
276,0,63,963,81,116,216,0.0
276,0,74,1772,305,107,123,1.0
276,0,77,1001,55,153,359,0.0
279,0,1,859,9,105,155,0.0
279,0,15,624,5,122,219,
279,0,43,1754,276,73,109,
279,0,45,978,0,80,128,0.0
279,0,51,1697,233,91,141,1.0
279,0,58,1564,229,59,138,1.0
279,0,63,934,65,107,157,0.0
279,0,70,1530,230,78,131,1.0
279,0,74,1773,301,107,131,1.0
286,0,15,590,0,131,203,
286,0,43,1749,276,77,107,
286,0,51,1691,233,91,139,1.0
286,0,58,1561,228,63,140,1.0
286,0,70,1527,230,77,120,1.0
286,0,74,1772,301,103,139,1.0
286,0,77,970,8,106,218,0.0
290,0,15,581,0,117,196,
290,0,43,1743,274,83,107,
290,0,51,1677,243,93,139,1.0
290,0,58,1561,228,63,141,1.0
290,0,70,1528,229,77,122,1.0
290,0,74,1770,302,110,145,1.0
290,0,77,946,0,90,222,0.0
291,0,15,578,2,118,188,
291,0,43,1742,275,82,107,
291,0,51,1674,239,95,147,1.0
291,0,58,1556,228,61,140,1.0
291,0,74,1767,302,113,138,1.0
291,0,77,908,1,126,232,0.0
291,0,81,790,8,155,250,0.0
295,0,15,571,1,106,163,
295,0,43,1740,278,80,109,
295,0,51,1675,230,99,155,1.0
295,0,58,1561,226,61,143,1.0
295,0,70,1528,228,77,122,1.0
295,0,74,1767,313,104,132,1.0
295,0,81,727,1,166,272,0.0
297,0,15,572,1,101,156,
297,0,43,1743,278,73,105,
297,0,51,1673,237,94,149,1.0
297,0,58,1563,227,62,142,1.0
297,0,70,1530,228,77,122,1.0
297,0,74,1764,310,107,144,1.0
297,0,81,726,2,156,282,0.0
297,0,82,866,0,123,243,0.0
301,0,15,567,2,86,155,
301,0,43,1739,280,79,100,
301,0,51,1672,237,95,151,1.0
301,0,58,1563,228,59,142,1.0
301,0,70,1530,228,77,124,1.0
301,0,74,1761,312,107,143,1.0
301,0,81,701,2,152,275,0.0
301,0,82,794,0,180,262,0.0
304,0,15,565,0,79,152,
304,0,51,1666,234,111,169,1.0
304,0,58,1562,227,61,143,1.0
304,0,70,1530,227,78,125,1.0
304,0,74,1759,310,105,145,1.0
304,0,81,695,5,133,279,0.0
304,0,82,795,1,145,249,0.0
306,0,15,559,0,83,144,
306,0,43,1737,279,80,107,
306,0,51,1664,235,103,171,1.0
306,0,58,1562,227,61,143,1.0
306,0,70,1531,228,76,124,1.0
306,0,74,1758,312,107,144,1.0
306,0,81,695,5,125,277,0.0
306,0,82,778,0,147,258,0.0
314,0,43,1724,284,85,110,
314,0,51,1656,238,107,169,1.0
314,0,58,1554,229,65,141,1.0
314,0,74,1749,312,113,166,1.0
314,0,81,644,5,122,236,0.0
314,0,82,727,1,143,245,0.0
315,0,1,866,7,117,156,0.0
315,0,43,1691,280,117,127,
315,0,51,1645,256,117,155,1.0
315,0,58,1552,229,65,141,1.0
315,0,74,1751,324,112,155,1.0
315,0,81,641,2,117,228,0.0
315,0,82,734,0,127,242,0.0
315,0,89,547,0,63,103,0.0
317,0,1,857,6,127,157,0.0
317,0,43,1721,281,91,124,
317,0,51,1635,246,122,170,1.0
317,0,58,1546,229,75,139,1.0
317,0,74,1749,326,115,152,1.0
317,0,81,633,0,119,222,0.0
317,0,82,728,0,129,232,0.0
320,0,1,857,5,127,159,0.0
320,0,43,1716,284,95,123,
320,0,51,1634,229,118,184,1.0
320,0,58,1550,229,71,140,1.0
320,0,74,1747,325,117,152,1.0
320,0,81,618,0,116,214,0.0
320,0,82,730,3,96,203,0.0
321,0,1,859,5,128,158,0.0
321,0,43,1707,286,104,125,
321,0,51,1637,227,115,185,1.0
321,0,58,1563,230,62,143,1.0
321,0,70,1528,227,80,124,1.0
321,0,74,1737,322,125,153,1.0
321,0,81,624,1,112,211,0.0
321,0,82,729,4,94,191,0.0
321,0,89,529,0,68,93,0.0
325,0,58,1538,225,88,148,1.0
325,0,70,1528,227,82,131,1.0
325,0,74,1726,316,137,161,1.0
325,0,81,608,0,94,217,0.0
325,0,82,712,2,89,176,0.0
327,0,1,860,6,125,140,0.0
327,0,43,1710,286,92,125,
327,0,51,1637,239,115,182,1.0
327,0,58,1568,229,91,156,1.0
327,0,70,1526,226,79,122,1.0
327,0,74,1731,327,127,150,1.0
327,0,81,595,0,98,210,0.0
327,0,82,699,1,106,177,0.0
327,0,92,588,149,183,191,0.0
328,0,1,861,6,124,137,0.0
328,0,43,1714,284,95,131,
328,0,51,1636,237,111,190,1.0
328,0,58,1537,225,93,151,1.0
328,0,70,1526,226,78,122,1.0
328,0,74,1727,329,133,149,1.0
328,0,81,593,0,95,206,0.0
328,0,82,688,0,104,176,0.0
328,0,92,584,148,191,195,0.0
328,0,94,1858,258,39,67,1.0
333,0,1,862,5,120,143,0.0
333,0,43,1709,282,100,131,
333,0,51,1617,250,125,179,1.0
333,0,58,1535,226,100,145,1.0
333,0,70,1528,227,81,130,1.0
333,0,74,1730,326,136,152,1.0
333,0,81,584,0,91,162,0.0
333,0,82,679,2,92,174,0.0
333,0,92,585,116,174,222,0.0
337,0,1,896,9,73,130,0.0
337,0,43,1707,283,97,131,
337,0,51,1615,242,123,181,1.0
337,0,58,1538,226,91,141,1.0
337,0,74,1724,328,131,163,1.0
337,0,81,577,0,96,150,0.0
337,0,82,670,0,82,131,0.0
337,0,92,576,90,183,244,0.0
337,0,96,749,91,143,186,0.0
339,0,43,1707,284,97,134,
339,0,51,1604,243,133,179,1.0
339,0,58,1551,228,73,140,1.0
339,0,70,1527,228,76,118,1.0
339,0,74,1724,330,137,176,1.0
339,0,82,663,0,77,122,0.0
339,0,92,575,89,180,243,0.0
341,0,43,1707,292,89,128,
341,0,51,1578,236,158,193,1.0
341,0,58,1567,232,75,153,1.0
341,0,70,1528,228,77,118,1.0
341,0,74,1722,331,137,180,1.0
341,0,82,668,2,64,105,0.0
341,0,92,573,78,166,259,0.0
344,0,43,1704,292,95,131,
344,0,51,1575,237,161,195,1.0
344,0,58,1566,237,83,173,1.0
344,0,70,1526,228,79,117,1.0
344,0,74,1722,338,137,174,1.0
344,0,92,573,66,157,268,0.0
344,0,96,726,58,140,228,0.0
351,0,1,870,7,104,153,0.0
351,0,43,1696,296,99,127,
351,0,51,1565,250,130,182,1.0
351,0,70,1538,228,71,115,1.0
351,0,74,1711,344,141,166,1.0
351,0,92,552,29,158,311,0.0
351,0,96,720,33,133,258,0.0
351,0,103,1677,230,49,101,1.0
352,0,1,862,6,117,154,0.0
352,0,43,1689,295,103,123,
352,0,51,1565,259,127,170,1.0
352,0,70,1527,226,79,113,1.0
352,0,74,1706,341,137,170,1.0
352,0,92,549,24,161,317,0.0
352,0,96,718,27,131,266,0.0
352,0,103,1676,233,49,90,1.0
354,0,1,866,8,98,151,0.0
354,0,43,1689,296,107,127,
354,0,51,1556,275,127,166,1.0
354,0,70,1534,226,75,115,1.0
354,0,74,1703,349,145,166,1.0
354,0,92,549,17,155,322,0.0
354,0,96,708,18,139,270,0.0
354,0,103,1672,235,51,95,1.0
355,0,1,867,8,94,152,0.0
355,0,43,1690,297,105,126,
355,0,51,1552,276,129,171,1.0
355,0,70,1531,227,80,115,1.0
355,0,74,1706,350,125,168,1.0
355,0,92,550,9,152,334,0.0
355,0,96,706,13,139,278,0.0
355,0,103,1671,238,50,96,1.0
357,0,1,868,6,103,153,0.0
357,0,43,1686,296,105,128,
357,0,51,1545,269,131,180,1.0
357,0,70,1535,226,74,118,1.0
357,0,74,1704,345,134,177,1.0
357,0,92,547,13,142,328,0.0
357,0,96,704,11,136,284,0.0
357,0,103,1668,243,50,93,1.0
357,0,107,1800,350,56,99,0.0
361,0,1,861,6,111,153,0.0
361,0,43,1678,291,105,138,
361,0,51,1542,255,136,185,1.0
361,0,70,1525,227,77,115,1.0
361,0,74,1701,344,145,182,1.0
361,0,92,535,7,140,333,0.0
361,0,96,695,4,132,294,0.0
361,0,107,1807,350,51,99,0.0
363,0,1,863,6,109,153,0.0
363,0,43,1673,294,112,141,
363,0,51,1541,256,133,183,1.0
363,0,70,1527,227,73,113,1.0
363,0,74,1700,344,145,185,1.0
363,0,92,528,5,138,337,0.0
363,0,96,688,3,129,295,0.0
363,0,107,1807,350,51,100,0.0
367,0,1,865,6,104,153,0.0
367,0,43,1672,294,111,151,
367,0,51,1497,244,201,213,1.0
367,0,70,1528,228,75,107,1.0
367,0,74,1697,351,124,206,1.0
367,0,92,523,0,127,327,0.0
367,0,96,681,0,121,292,0.0
367,0,107,1814,354,40,99,0.0
373,0,1,866,4,115,154,0.0
373,0,43,1670,302,106,148,
373,0,51,1488,252,142,200,1.0
373,0,74,1694,361,145,205,1.0
373,0,92,529,0,98,305,0.0
373,0,96,664,2,123,297,0.0
373,0,107,1808,355,46,99,0.0
373,0,113,1604,247,103,168,1.0
378,0,1,871,4,111,152,0.0
378,0,43,1665,302,110,149,
378,0,74,1679,357,151,202,1.0
378,0,92,539,0,83,299,0.0
378,0,96,665,0,102,290,0.0
378,0,107,1811,361,43,92,0.0
378,0,113,1553,239,79,185,1.0
381,0,1,874,5,107,150,0.0
381,0,43,1657,302,117,153,
381,0,51,1456,228,161,259,1.0
381,0,74,1659,359,181,210,1.0
381,0,92,532,1,88,278,0.0
381,0,96,664,0,102,228,0.0
381,0,107,1809,365,43,93,0.0
381,0,113,1573,241,128,190,1.0
398,0,1,869,6,107,154,0.0
398,0,43,1629,302,122,169,
398,0,51,1349,217,196,256,1.0
398,0,74,1604,364,209,270,1.0
398,0,92,513,0,89,213,0.0
398,0,96,620,2,86,184,0.0
398,0,107,1769,378,70,125,0.0
398,0,113,1539,228,119,199,1.0
401,0,1,871,7,103,155,0.0
401,0,43,1623,310,128,176,
401,0,51,1348,208,182,248,1.0
401,0,74,1603,370,219,240,1.0
401,0,92,513,0,94,217,0.0
401,0,96,611,1,93,186,0.0
401,0,107,1755,384,83,143,0.0
401,0,113,1489,228,159,191,1.0
404,0,1,868,7,110,156,0.0
404,0,43,1603,318,138,205,
404,0,51,1334,201,178,276,1.0
404,0,74,1596,360,233,263,1.0
404,0,92,513,1,94,215,0.0
404,0,96,607,0,95,186,0.0
404,0,113,1508,222,131,197,1.0
409,0,1,868,7,112,156,0.0
409,0,43,1551,316,199,280,
409,0,51,1281,198,210,276,1.0
409,0,74,1640,390,199,211,1.0
409,0,92,511,3,100,208,0.0
409,0,96,601,1,91,178,0.0
409,0,113,1488,218,140,211,1.0
411,0,1,866,6,110,156,0.0
411,0,43,1547,311,202,290,
411,0,51,1270,193,215,282,1.0
411,0,74,1625,393,211,211,1.0
411,0,92,511,2,103,210,0.0
411,0,96,605,2,80,158,0.0
